"Pid","PTid","Pdescription_word","Pdescription_img","Pname","Pprice","Pprice_v","Pnum","PTname"
"1","1","Simple is delicious, extracts classic espresso, blends with water, and has a rich aroma.","image/1532401784626.jpg","American coffee","12","8","100","Hand-modulated espresso"
"2","1","True color classic coffee.Freshly extracted espresso is slowly poured into steamed milk, covered with soft milk foam, simple fragrance and pure.","image/1532400465594.jpg","Latte","12","8","100","Hand-modulated espresso"
"3","1","Mocha originally referred to a coffee bean with a chocolate flavor. Now, this chocolate coffee still gives you pure warmth.Mocha sauce is added to the espresso, and the steamed milk is interwoven with silky and mellow.","image/1532400487696.jpg","Mocha","12","8","100","Hand-modulated espresso"
"4","1","The steamed milk is blended with espresso, covered with thick, dense milk foam, and sprinkled with cinnamon or cocoa powder.","image/1532400522724.jpg","Cappuccino","12","8","100","Hand-modulated espresso"
"5","1","Macchiato means ""imprint"" in Italian.Start with steamed milk and add flavored syrup, then pour in the mellow espresso, leaving a unique mark that belongs to Macchiato.","image/1532400560956.jpg","Caramel Macchiato","12","8","100","Hand-modulated espresso"
"6","1","Extract Starbucks Concentrated Roasted Coffee Bean Extract, each mouth is full of scent, with a rich caramel and multi-layered taste, to take you on a Starbucks coffee tour.","image/1532400577020.jpg","Espresso","12","8","100","Hand-modulated espresso"
"7","1","The hazelnut flavor is complemented by the mellow espresso, blended in steamed milk to give you a warm, mellow aroma.","image/1532400588257.jpg","Hazelnut flavor latte","12","8","100","Hand-modulated espresso"
"8","2","The espresso espresso is blended with the rich caramel coffee frappuccino, and the top whipped cream is topped with caramel flavored sauce.Let you stop the delicious taste.","image/1532400686739.jpg","Caramel Espresso Frappuccino","12","8","100","Frappuccino"
"9","2","Mocha sauce and coffee are glamorous under the impact of ice cubes, and the cocoa pieces bring a different taste. The top is covered with cream and mocha sauce, making the rich more interesting.(cocoa chips are cocoa butter chocolate)","image/1532400873921.jpg","Mocha Coco Fragment Frappuccino","12","8","100","Frappuccino"
"10","2","The vanilla-flavored syrup is softly whipped with milk and ice cubes, and the taste is refreshing and pleasant.","image/1532400739363.jpg","Vanilla flavored frappuccino","12","8","100","Frappuccino"
"11","2","The freshness of the matcha, the smoothness of a piece of milk, and the unique refreshing of the ice and the cream.","image/1532400751424.jpg","Matcha Frappuccino","12","8","100","Frappuccino"
"12","2","In the coffee frappuccino, add espresso.Let each drop of mellow condense in the cup.","image/1532400766233.jpg","Espresso Frappuccino","12","8","100","Frappuccino"
"13","2","The refreshing of herbal tea, the sweet and sour of mango passion fruit juice is combined with ice.It is not necessary to distinguish whether the mouth is floral or fruity, and it is a good drink for the cool summer.","image/1532400784790.jpg","Mango Passion Fruit Tea Frappuccino","12","8","100","Frappuccino"
"14","2","Mocha sauce and Frappuccino roast coffee, happy in milk and ice, accompanied by snowy cream, make you energized every moment.","image/1532400929018.jpg","Mocha Frappuccino","12","8","100","Frappuccino"
"15","3","The high-quality black tea slowly shows a mild taste in the steamed milk, and the tea is scented with soft milk foam to give a classic flavor sauce.This is a dialogue between black tea and milk, and elegantly enjoy the black tea culture.","image/1532400955964.jpg","Black tea latte","12","8","100","ChavanaTM"
"16","3","High-quality matcha, steamed milk and delicate milk foam are combined with a classic sauce to create a smooth, sweet and elegant taste.","image/1532400975534.jpg","Matcha latte","12","8","100","ChavanaTM"
"17","3","Blended with the scent of Korean grapefruit, the sweetness of the Israeli grapefruit juice, the fruity aroma of American powdered grapefruit juice blended with mellow black tea, full of fruit and sweet grapefruit skin, embellished with a layer of artichoke honey deep into the mouth, let TA on this The cup is full of people’s hearts and minds.","image/1532400990307.jpg","Tea Wana TM Ice Shake Pomelo Honey Black Tea","12","8","100","ChavanaTM"
